Foresight Sports: PLAYER 1 - 11/30/2021 5:52 PM
Club, Ball, Ball Speed, Launch Angle, Side Angle, Backspin, Sidespin, Tilt Angle, Total Spin, Carry, Total, Offline, Descent Angle, Peak Height, To Pin, Club Speed, Efficiency, Angle of Attack, Club Path
, , MPH, °, °, RPM, RPM, °, RPM, YDS, YDS, YDS, °, YDS, , MPH, , °, °
, , , , , , , , , , , , , , , , , , 
54* - 75 yard stock, Standard, 65.6, 30.3, 1.5 R, 7842, 342 L, 2.5 L, 7849, 72.2, 73.6, 1.0R, 44.5, 15.4, 5'3", 61.6, 1.07, 4.8 Dn, 4.5 In-Out
54* - 75 yard stock, Standard, 64.6, 30.6, 1.7 R, 8120, 265 L, 1.9 L, 8124, 70.3, 71.4, 1.5R, 44.6, 15.0, 11'8", 61.2, 1.06, 4.9 Dn, 3.8 In-Out
54* - 75 yard stock, Standard, 62.2, 29.9, 1.6 R, 7965, 391 L, 2.8 L, 7975, 66.2, 73.2, 0.9R, 42.9, 13.4, 5'11", 58.1, 1.07, 3.9 Dn, 4.3 In-Out
54* - 75 yard stock, Standard, 71.2, 24.9, 1.9 R, 7745, 677 R, 5.0 R, 7775, 81.2, 83.4, 5.1R, 40.3, 14.3, 29'2", 70.4, 1.01, 6.0 Dn, 5.3 In-Out
54* - 75 yard stock, Standard, 70.4, 30.9, 3.7 R, 9299, 50 L, 0.3 L, 9299, 79.2, 79.8, 5.0R, 47.6, 18.6, 20'3", 68.2, 1.03, 4.7 Dn, 5.2 In-Out
54* - 75 yard stock, Standard, 67.1, 29.7, 2.8 R, 9272, 202 R, 1.2 R, 9274, 74.0, 74.7, 4.2R, 45.2, 15.9, 12'6", 66.7, 1.01, 5.7 Dn, 4.4 In-Out
54* - 75 yard stock, Standard, 65.9, 29.5, 3.1 R, 7545, 247 L, 1.9 L, 7549, 72.9, 74.6, 3.3R, 43.5, 14.9, 9'11", 60.2, 1.09, 5.2 Dn, 4.6 In-Out
54* - 75 yard stock, Standard, 67.1, 28.8, 1.3 R, 7540, 370 L, 2.8 L, 7549, 74.9, 76.7, 0.6R, 43.2, 15.1, 5'6", 60.7, 1.11, 5.5 Dn, 3.7 In-Out
54* - 75 yard stock, Standard, 65.4, 27.9, 2.8 R, 9230, 604 R, 3.7 R, 9250, 71.0, 71.9, 4.9R, 42.4, 13.8, 17'9", 65.6, 1.00, 6.8 Dn, 3.4 In-Out
54* - 75 yard stock, Standard, 69.1, 29.6, 1.1 R, 8774, 47 L, 0.3 L, 8774, 77.7, 78.5, 1.4R, 45.5, 16.9, 11'4", 65.8, 1.05, 5.5 Dn, 3.1 In-Out
54* - 75 yard stock, Standard, 69.3, 27.9, 1.9 R, 8798, 143 R, 0.9 R, 8799, 78.0, 79.0, 3.1R, 43.7, 15.7, 15'0", 66.4, 1.04, 6.9 Dn, 3.5 In-Out
54* - 75 yard stock, Standard, 66.1, 31.7, 2.5 R, 8724, 95 R, 0.6 R, 8725, 72.4, 73.2, 3.5R, 46.6, 16.7, 11'9", 64.2, 1.03, 4.2 Dn, 3.9 In-Out
54* - 75 yard stock, Standard, 68.8, 31.8, 0.7 R, 7972, 217 L, 1.6 L, 7975, 77.3, 78.5, 0.3R, 47.2, 18.1, 10'4", 64.8, 1.06, 3.2 Dn, 1.6 In-Out
54* - 75 yard stock, Standard, 67.6, 29.7, 2.5 R, 8722, 190 R, 1.2 R, 8724, 75.1, 76.0, 3.8R, 45.0, 16.1, 11'9", 66.5, 1.02, 5.5 Dn, 3.8 In-Out
54* - 75 yard stock, Standard, 67.6, 30.0, 1.1 R, 8975, 0, 0.0 R, 8975, 75.0, 75.7, 1.5R, 45.5, 16.3, 5'0", 65.2, 1.04, 4.6 Dn, 2.9 In-Out
54* - 75 yard stock, Standard, 66.2, 30.7, 2.6 R, 9236, 504 R, 3.1 R, 9250, 72.3, 73.0, 4.5R, 45.9, 16.1, 14'11", 66.0, 1.00, 5.1 Dn, 3.9 In-Out
54* - 75 yard stock, Standard, 69.5, 27.9, 1.7 L, 8441, 368 L, 2.5 L, 8449, 78.6, 79.8, 3.5L, 43.6, 15.8, 17'8", 64.0, 1.09, 6.0 Dn, 1.5 In-Out
Average, , 67.2, 29.6, 2.0 R, 8519, 29 R, 0.1 R, 8526, 74.4, 75.8, 2.7R, 44.7, 15.8, 13'4", 64.5, 1.04, 5.1 Dn, 3.8 In-Out
Std. Dev., , 2.2, 1.6, 1.4, 612, 338, 2.3, 611, 3.6, 3.3, 2.4R, 1.8, 1.3, 6'5", 3.0, 0.03, 1.0, 1.1
