Foresight Sports: mhutch84 - 12/6/2021 3:45 PM
Club, Ball, Ball Speed, Launch Angle, Side Angle, Backspin, Sidespin, Tilt Angle, Total Spin, Carry, Total, Offline, Descent Angle, Peak Height, To Pin, Club Speed, Efficiency, Angle of Attack, Club Path, Face to Path, Lie, Loft, Closure Rate, Face Impact Lateral, Face Impact Vertical
, , MPH, °, °, RPM, RPM, °, RPM, YDS, YDS, YDS, °, YDS, , MPH, , °, °, °, °, °, dps, mm, mm
, , , , , , , , , , , , , , , , , , , , , , , , 
Driver, Standard, 161.7, 17.2, 5.9 R, 4206, 391 R, 5.3 R, 4224, 251.2, 266.1, 42.4R, 52.0, 57.1, 119, 111.9, 1.45, 7.3 Up, 3.9 In-Out, --, --, --, --, --, --
Driver, Standard, 162.6, 16.4, 1.6 R, 2212, 930 L, 22.8 L, 2400, 283.6, 303.0, 51.6L, 44.3, 45.4, 92, 112.1, 1.45, 6.9 Up, 2.7 In-Out, --, --, --, --, --, --
Driver, Standard, 161.6, 17.7, 4.5 R, 2186, 1048 L, 25.6 L, 2424, 280.1, 298.8, 44.0L, 45.9, 48.3, 90, 112.1, 1.44, 7.8 Up, 4.2 In-Out, --, --, --, --, --, --
Driver, Standard, 157.0, 18.0, 2.8 R, 3680, 383 R, 5.9 R, 3700, 251.3, 267.3, 29.6R, 51.1, 55.4, 113, 110.9, 1.42, 7.6 Up, 3.7 In-Out, --, --, --, --, --, --
Average, , 158.9, 16.4, 3.3 R, 2951, 321 L, 8.7 L, 3047, 263.7, 281.8, 2.5L, 46.5, 48.2, 99, 110.6, 1.44, 7.1 Up, 4.1 In-Out, --, --, --, --, --, --
Std. Dev., , 2.8, 1.4, 1.4, 731, 533, 14.9, 589, 12.1, 12.6, 30.9R, 5.3, 8.3, 15, 1.1, 0.02, 0.6, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, , , , , , , , , , , , , , , , , , , , , , , , 
3-Wood, Standard, 155.8, 13.9, 5.1 R, 3148, 85 L, 1.5 L, 3149, 259.6, 277.8, 20.4R, 45.0, 42.4, 99, 108.9, 1.43, 3.6 Up, 3.0 In-Out, --, --, --, --, --, --
3-Wood, Standard, 157.3, 12.1, 2.4 R, 2763, 1166 L, 22.9 L, 2999, 256.5, 276.3, 45.2L, 40.3, 33.7, 112, 109.1, 1.44, 3.9 Up, 3.5 In-Out, --, --, --, --, --, --
3-Wood, Standard, 143.6, 14.1, 5.2 R, 1582, 686 L, 23.4 L, 1724, 244.1, 271.6, 17.0L, 31.4, 25.8, 105, 102.4, 1.40, 6.3 Up, 3.4 In-Out, --, --, --, --, --, --
3-Wood, Standard, 145.5, 14.7, 6.7 R, 2092, 171 L, 4.7 L, 2099, 255.7, 277.6, 22.4R, 38.1, 33.7, 100, 105.6, 1.38, 4.6 Up, 4.1 In-Out, --, --, --, --, --, --
3-Wood, Standard, 155.3, 10.6, 3.8 R, 4271, 163 R, 2.2 R, 4274, 241.4, 256.0, 22.7R, 44.3, 36.3, 121, 109.9, 1.41, 2.9 Up, 3.2 In-Out, --, --, --, --, --, --
3-Wood, Standard, 154.5, 13.0, 3.2 R, 2666, 560 L, 11.9 L, 2724, 261.8, 281.8, 14.2L, 40.9, 36.2, 94, 108.5, 1.42, 3.5 Up, 2.9 In-Out, --, --, --, --, --, --
3-Wood, Standard, 151.6, 3.9, 0.3 L, 2496, 137 L, 3.1 L, 2500, 219.9, 252.7, 7.0L, 17.8, 9.9, 122, 109.4, 1.39, 3.7 Up, 2.9 In-Out, --, --, --, --, --, --
3-Wood, Standard, 151.2, 13.9, 5.9 R, 2903, 350 L, 6.9 L, 2924, 253.8, 273.3, 11.0R, 43.0, 38.6, 102, 109.0, 1.39, 3.1 Up, 2.8 In-Out, --, --, --, --, --, --
3-Wood, Standard, 156.5, 12.2, 4.5 R, 4124, 89 R, 1.2 R, 4125, 246.1, 261.3, 24.0R, 46.3, 41.0, 117, 109.7, 1.43, 3.5 Up, 4.3 In-Out, --, --, --, --, --, --
3-Wood, Standard, 158.6, 11.4, 2.6 R, 2860, 1258 L, 23.7 L, 3124, 255.4, 275.3, 46.7L, 39.7, 32.2, 113, 109.7, 1.44, 4.0 Up, 4.3 In-Out, --, --, --, --, --, --
3-Wood, Standard, 157.6, 13.8, 6.3 R, 3670, 180 L, 2.8 L, 3674, 254.5, 270.4, 21.9R, 47.0, 44.7, 107, 110.2, 1.43, 3.3 Up, 3.8 In-Out, --, --, --, --, --, --
3-Wood, Standard, 143.0, 14.0, 7.6 R, 2077, 927 L, 24.1 L, 2274, 238.2, 260.4, 13.3L, 35.8, 28.8, 115, 107.2, 1.33, 3.7 Up, 3.5 In-Out, --, --, --, --, --, --
3-Wood, Standard, 156.8, 13.4, 4.7 R, 3546, 154 L, 2.5 L, 3549, 255.1, 271.0, 15.6R, 46.1, 42.9, 105, 109.7, 1.43, 3.3 Up, 2.6 In-Out, --, --, --, --, --, --
3-Wood, Standard, 154.4, 13.9, 6.4 R, 4412, 880 R, 11.3 R, 4499, 237.1, 250.4, 57.1R, 48.4, 43.8, 142, 109.0, 1.42, 3.0 Up, 4.0 In-Out, --, --, --, --, --, --
3-Wood, Standard, 156.1, 10.3, 3.9 R, 4014, 286 L, 4.1 L, 4024, 245.4, 261.4, 7.0R, 43.3, 35.2, 113, 109.7, 1.42, 3.8 Up, 3.8 In-Out, --, --, --, --, --, --
3-Wood, Standard, 156.2, 13.9, 4.9 R, 3721, 162 R, 2.5 R, 3725, 251.4, 266.7, 29.3R, 47.0, 44.1, 113, 110.1, 1.42, 4.1 Up, 4.5 In-Out, --, --, --, --, --, --
3-Wood, Standard, 156.2, 13.0, 2.6 R, 2679, 893 L, 18.4 L, 2824, 261.1, 280.4, 33.5L, 41.1, 36.0, 102, 109.3, 1.43, 3.6 Up, 2.1 In-Out, --, --, --, --, --, --
3-Wood, Standard, 156.9, 11.9, 3.3 R, 3763, 289 L, 4.4 L, 3774, 251.3, 267.1, 3.7R, 44.9, 39.3, 107, 110.1, 1.43, 3.4 Up, 4.4 In-Out, --, --, --, --, --, --
3-Wood, Standard, 157.4, 12.6, 1.8 R, 3138, 624 L, 11.2 L, 3199, 259.9, 277.3, 20.9L, 43.3, 38.6, 100, 109.4, 1.44, 3.6 Up, 3.0 In-Out, --, --, --, --, --, --
3-Wood, Standard, 155.8, 13.7, 4.9 R, 3224, 52 R, 0.9 R, 3224, 258.6, 275.8, 26.1R, 45.0, 42.0, 103, 110.0, 1.42, 2.5 Up, 3.3 In-Out, --, --, --, --, --, --
3-Wood, Standard, 159.4, 10.8, 3.9 R, 3677, 731 L, 11.2 L, 3749, 254.0, 270.7, 12.0L, 43.3, 36.4, 105, 111.5, 1.43, 3.0 Up, 3.3 In-Out, --, --, --, --, --, --
3-Wood, Standard, 158.0, 12.9, 4.7 R, 3077, 542 L, 10.0 L, 3124, 263.0, 281.1, 3.9L, 43.7, 39.8, 93, 110.3, 1.43, 2.7 Up, 2.8 In-Out, --, --, --, --, --, --
3-Wood, Standard, 146.6, 14.5, 4.1 R, 2105, 638 L, 16.9 L, 2200, 252.7, 276.2, 17.5L, 37.7, 32.6, 100, 107.2, 1.37, 3.6 Up, 1.9 In-Out, --, --, --, --, --, --
3-Wood, Standard, 155.9, 13.9, 2.9 R, 2989, 245 L, 4.7 L, 2999, 262.7, 280.3, 1.7R, 44.3, 41.6, 94, 109.5, 1.42, 3.5 Up, 1.9 In-Out, --, --, --, --, --, --
3-Wood, Standard, 154.4, 12.3, 3.1 R, 4312, 331 R, 4.4 R, 4325, 240.1, 255.0, 25.2R, 46.3, 40.2, 123, 109.9, 1.40, 3.4 Up, 3.4 In-Out, --, --, --, --, --, --
3-Wood, Standard, 156.8, 13.0, 4.1 R, 3138, 482 L, 8.7 L, 3175, 260.2, 277.9, 3.4L, 43.8, 39.7, 97, 109.8, 1.43, 2.8 Up, 1.8 In-Out, --, --, --, --, --, --
3-Wood, Standard, 159.7, 12.7, 3.6 R, 3600, 416 L, 6.6 L, 3624, 258.6, 275.8, 1.0L, 45.8, 42.4, 99, 110.8, 1.44, 3.6 Up, 3.1 In-Out, --, --, --, --, --, --
3-Wood, Standard, 157.4, 13.0, 3.0 R, 2731, 812 L, 16.6 L, 2849, 264.2, 282.9, 27.8L, 41.7, 37.2, 97, 109.4, 1.44, 3.5 Up, 3.3 In-Out, --, --, --, --, --, --
3-Wood, Standard, 158.5, 12.5, 4.2 R, 3661, 320 L, 5.0 L, 3675, 255.8, 272.0, 6.1R, 45.5, 41.2, 103, 110.7, 1.43, 2.7 Up, 2.9 In-Out, --, --, --, --, --, --
3-Wood, Standard, 151.0, 15.4, 6.0 R, 3068, 201 R, 3.7 R, 3075, 252.4, 270.1, 37.8R, 45.7, 43.4, 113, 107.9, 1.40, 4.2 Up, 3.4 In-Out, --, --, --, --, --, --
3-Wood, Standard, 155.7, 14.2, 6.7 R, 3335, 310 L, 5.3 L, 3349, 256.4, 272.8, 17.8R, 46.0, 43.4, 104, 109.7, 1.42, 4.1 Up, 5.2 In-Out, --, --, --, --, --, --
Average, , 154.6, 12.8, 4.3 R, 3188, 335 L, 7.2 L, 3244, 252.5, 270.9, 2.8R, 42.3, 37.5, 107, 109.2, 1.42, 3.6 Up, 3.3 In-Out, --, --, --, --, --, --
Std. Dev., , 4.4, 2.0, 1.7, 695, 449, 8.9, 664, 9.5, 8.8, 23.9R, 5.7, 6.8, 10, 1.7, 0.02, 0.7, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
