Foresight Sports: MHUTCH84 - 12/28/2021 3:20 PM
Club, Ball, Ball Speed, Launch Angle, Side Angle, Backspin, Sidespin, Tilt Angle, Total Spin, Carry, Total, Offline, Descent Angle, Peak Height, To Pin, Club Speed, Efficiency, Angle of Attack, Club Path, Face to Path, Lie, Loft, Closure Rate, Face Impact Lateral, Face Impact Vertical
, , MPH, °, °, RPM, RPM, °, RPM, YDS, YDS, YDS, °, YDS, YDS, MPH, , °, °, °, °, °, dps, mm, mm
, , , , , , , , , , , , , , , , , , , , , , , , 
FW, Standard, 144.8, 13.5, 3.8, 4247, 139, 1.9, 4249, 219.5, 234.1, 12.6, 44.9, 38.0, 15.8, --, --, --, --, --, --, --, --, --, --
, , , , , , , , , , , , , , , , , , , , , , , , 
Iron, Standard, 101.2, 20.5, 1.7, 6549, 71, 0.6, 6549, 130.5, 133.9, 3.9, 42.3, 25.7, 11.2, --, --, --, --, --, --, --, --, --, --
Iron, Standard, 112.1, 16.5, 0.2, 6006, -724, -6.9, 6049, 149.9, 155.5, -7.0, 40.6, 25.9, 9.7, 84.9, 1.32, -3.1, 2.4, --, --, --, --, --, --
Iron, Standard, 103.9, 19.5, -1.2, 6385, -911, -8.1, 6450, 140.4, 151.3, -20.9, 44.4, 25.7, 20.9, --, --, --, --, --, --, --, --, --, --
Iron, Standard, 114.6, 19.5, 0.7, 7118, -897, -7.2, 7174, 156.0, 169.1, -13.9, 48.3, 32.7, 22.8, --, --, --, --, --, --, --, --, --, --
Iron, Standard, 105.9, 21.0, -1.2, 7713, -421, -3.1, 7724, 140.7, 143.7, -7.1, 47.7, 29.8, 9.9, 85.5, 1.24, -3.3, 2.6, --, --, --, --, --, --
Iron, Standard, 101.4, 24.3, 1.4, 8800, 0, 0.0, 8800, 131.1, 132.9, 3.9, 50.4, 31.6, 15.4, 84.7, 1.20, -2.2, 2.3, --, --, --, --, --, --
Iron, Standard, 108.6, 21.4, -1.7, 8443, -322, -2.2, 8449, 141.8, 143.0, -6.7, 48.8, 32.2, 8.3, 86.1, 1.26, -4.5, 0.3, --, --, --, --, --, --
Iron, Standard, 94.5, 26.0, -3.1, 8409, -505, -3.4, 8424, 122.2, 128.2, -14.2, 50.3, 28.8, 14.2, --, --, --, --, --, --, --, --, --, --
Iron, Standard, 100.9, 25.1, -0.3, 9186, -501, -3.1, 9200, 129.8, 130.7, -4.3, 51.4, 32.3, 5.2, --, --, --, --, --, --, --, --, --, --
Iron, Standard, 112.3, 23.4, 0.2, 8429, -876, -5.9, 8474, 148.2, 154.4, -6.8, 52.2, 37.5, 7.3, 87.5, 1.28, -2.2, 3.3, --, --, --, --, --, --
Average, , 105.5, 21.7, -0.3, 7704, -509, -3.9, 7729, 139.0, 144.3, -7.3, 47.6, 30.2, 12.5, 85.7, 1.26, -3.1, 2.2, --, --, --, --, --, --
Std. Dev., , 6.0, 2.8, 1.4, 1061, 336, 2.9, 1050, 10.0, 12.6, 7.3, 3.8, 3.6, 5.5, 1.0, 0.04, 0.8, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, , , , , , , , , , , , , , , , , , , , , , , , 
Wedge, Standard, 94.7, 31.8, 1.0, 8802, -625, -4.1, 8824, 112.2, 112.8, -1.4, 53.9, 35.7, 1.4, 85.9, 1.10, -1.3, 5.0, --, --, --, --, --, --
Wedge, Standard, 85.7, 33.0, -1.1, 7266, -356, -2.8, 7275, 98.6, 100.5, -3.7, 50.2, 30.2, 12.7, 79.6, 1.08, -4.7, 3.1, --, --, --, --, --, --
Wedge, Standard, 18.1, 26.5, -7.5, 1953, -128, -3.7, 1957, 6.4, 16.3, -2.0, 32.0, 0.8, 2.0, 16.0, 1.13, -4.1, -1.3, --, --, --, --, --, --
Wedge, Standard, 29.4, 36.3, 0.0, 2840, -217, -4.4, 2848, 16.9, 23.2, -1.1, 36.3, 3.5, 2.9, 29.4, 1.00, -4.7, 3.5, --, --, --, --, --, --
Wedge, Standard, 15.8, 28.6, -8.0, 1393, -121, -5.0, 1398, 4.9, 11.9, -1.2, 31.4, 0.7, 1.8, 13.7, 1.15, -2.9, -2.5, --, --, --, --, --, --
Wedge, Standard, 86.9, 30.4, 0.0, 7770, 254, 1.9, 7774, 104.0, 105.5, 1.7, 49.5, 28.4, 3.4, 82.4, 1.05, -4.5, 3.0, --, --, --, --, --, --
Wedge, Standard, 49.2, 33.9, -3.0, 5282, -433, -4.7, 5300, 43.0, 46.1, -3.1, 38.3, 9.4, 3.6, 49.0, 1.00, -6.6, 1.3, --, --, --, --, --, --
Wedge, Standard, 7.9, 36.2, -3.8, 754, 0, 0.0, 754, 1.4, 3.7, 0.0, 38.2, 0.3, 0.0, 8.6, 0.93, -4.7, 2.1, --, --, --, --, --, --
Wedge, Standard, 92.0, 28.3, -3.6, 8421, -690, -4.7, 8449, 113.5, 118.5, -10.2, 50.3, 29.8, 17.9, 80.2, 1.15, -4.7, 1.4, --, --, --, --, --, --
Wedge, Standard, 85.7, 24.8, 0.1, 8160, 1029, 7.2, 8225, 105.9, 107.8, 6.1, 45.0, 21.9, 7.5, --, --, --, --, --, --, --, --, --, --
Wedge, Standard, 14.3, 32.9, -7.2, 1557, -102, -3.7, 1560, 4.4, 8.9, -0.9, 36.7, 0.7, 1.8, 14.1, 1.01, -4.4, -1.8, --, --, --, --, --, --
Wedge, Standard, 84.1, 36.5, -1.1, 7293, -318, -2.5, 7300, 100.8, 103.0, -2.7, 55.5, 32.2, 3.8, 80.5, 1.04, -2.8, 2.1, --, --, --, --, --, --
Wedge, Standard, 42.6, 36.8, 4.2, 4268, -233, -3.1, 4274, 32.2, 35.7, 2.1, 36.4, 7.8, 3.7, 43.0, 0.99, -5.3, 7.1, --, --, --, --, --, --
Average, , 54.3, 32.0, -2.3, 5058, -149, -2.3, 5072, 57.3, 61.1, -1.2, 42.6, 15.5, 4.8, 48.5, 1.05, -4.2, 1.9, --, --, --, --, --, --
Std. Dev., , 33.2, 3.9, 3.5, 2930, 417, 3.3, 2940, 46.5, 44.9, 3.6, 8.1, 13.7, 4.9, 30.3, 0.07, 1.3, 2.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
