Foresight Sports: HUTCH - 12/2/2021 6:41 PM
Club, Ball, Ball Speed, Launch Angle, Side Angle, Backspin, Sidespin, Tilt Angle, Total Spin, Carry, Total, Offline, Descent Angle, Peak Height, To Pin, Club Speed, Efficiency, Angle of Attack, Club Path
, , MPH, °, °, RPM, RPM, °, RPM, YDS, YDS, YDS, °, YDS, , MPH, , °, °
, , , , , , , , , , , , , , , , , , 
Iron, Standard, 98.1, 25.3, 0.1 R, 8275, 633 L, 4.4 L, 8299, 126.4, 129.0, 4.4L, 49.9, 30.4, 28'7", --, --, --, --
Iron, Standard, 105.3, 22.8, 0.7 R, 8287, 452 L, 3.1 L, 8299, 138.7, 140.4, 2.3L, 49.5, 31.9, 15'7", --, --, --, --
Iron, Standard, 112.7, 19.6, 0.6 L, 6159, 708 L, 6.6 L, 6200, 157.2, 163.3, 10.3L, 46.9, 31.1, 49'5", 83.9, 1.34, 3.7 Dn, 1.8 In-Out
Iron, Standard, 107.9, 22.5, 0.5 R, 7496, 655 L, 5.0 L, 7525, 144.3, 146.7, 4.9L, 49.2, 33.0, 21'8", --, --, --, --
Iron, Standard, 119.1, 20.2, 0.9 R, 6372, 594 L, 5.3 L, 6400, 166.9, 171.8, 6.0L, 49.3, 36.5, 22'7", 90.5, 1.32, 3.3 Dn, 3.3 In-Out
Iron, Standard, 115.8, 18.7, 0.6 L, 6397, 594 L, 5.3 L, 6425, 161.9, 164.6, 9.1L, 46.9, 31.8, 13, 85.9, 1.35, 4.3 Dn, 2.1 In-Out
Iron, Standard, 112.0, 20.0, 0.5 R, 5658, 870 L, 8.7 L, 5724, 157.6, 174.9, 14.5L, 46.4, 31.0, 12, 84.8, 1.32, 2.5 Dn, 2.9 In-Out
Average, , 110.4, 21.5, 0.5 R, 6898, 603 L, 5.1 L, 6927, 150.5, 156.0, 5.9L, 48.6, 32.8, 28'8", 86.6, 1.33, 3.4 Dn, 2.6 In-Out
Std. Dev., , 6.0, 2.1, 0.7, 885, 134, 1.6, 875, 12.3, 14.8, 4.4R, 1.4, 2.0, 10'2", 2.4, 0.02, 0.6, 0.6
, , , , , , , , , , , , , , , , , , 
Wedge, Standard, 80.5, 30.7, 0.6 L, 8143, 712 L, 5.0 L, 8174, 96.2, 97.0, 4.0L, 49.7, 24.5, 12'11", 75.3, 1.07, 4.1 Dn, 2.5 In-Out
Wedge, Standard, 61.8, 33.1, 0.2 R, 9449, 103 L, 0.6 L, 9450, 64.4, 65.2, 0.0, 46.5, 15.3, 16'6", 67.0, 0.92, 5.0 Dn, 0.8 In-Out
Wedge, Standard, 92.8, 22.5, 0.6 R, 8073, 176 R, 1.2 R, 8075, 119.3, 122.5, 1.8R, 45.2, 23.7, 12'6", --, --, --, --
Wedge, Standard, 91.9, 26.9, 2.0 L, 9397, 718 L, 4.4 L, 9424, 114.3, 115.2, 8.0L, 49.9, 28.3, 27'8", --, --, --, --
Wedge, Standard, 36.5, 21.8, 24.4 R, 3594, 4883 R, 53.6 R, 6063, 18.6, 27.1, 13.0R, 20.3, 2.2, 25, 46.2, 0.79, 5.5 Dn, 2.9 In-Out
Wedge, Standard, 24.2, 29.6, 2.4 L, 2732, 224 L, 4.7 L, 2741, 10.7, 15.2, 0.0L, 29.0, 1.7, 29'4", 23.0, 1.05, 5.8 Dn, 1.8 In-Out
Wedge, Standard, 78.8, 28.3, 1.1 L, 9674, 105 R, 0.6 R, 9675, 95.3, 96.1, 1.4L, 48.3, 21.5, 29'1", 77.9, 1.01, 6.7 Dn, 1.5 In-Out
Wedge, Standard, 16.1, 26.4, 2.8 L, 1649, 0, 0.0 R, 1649, 5.1, 11.9, 1.0L, 32.0, 0.6, 4'2", 13.7, 1.17, 4.7 Dn, 0.4 In-Out
Wedge, Standard, 19.9, 31.4, 6.5 L, 3442, 434 R, 7.2 R, 3469, 7.8, 13.0, 0.8L, 32.6, 1.3, 2'10", 22.7, 0.88, 5.9 Dn, 8.2 Out-In
Wedge, Standard, 53.9, 27.4, 1.8 L, 5011, 799 L, 9.1 L, 5074, 50.9, 63.6, 7.5L, 34.6, 8.2, 18, 46.6, 1.16, 5.5 Dn, 2.5 In-Out
Wedge, Standard, 19.2, 26.4, 1.9 L, 2007, 10 L, 0.3 L, 2007, 5.3, 7.6, 0.3L, 17.4, 1.1, 30'5", 16.6, 1.16, 5.9 Dn, 0.7 In-Out
Average, , 52.3, 27.7, 0.6 R, 5743, 276 R, 3.5 R, 5982, 53.4, 57.7, 0.7L, 36.9, 11.7, 26'8", 43.2, 1.02, 5.4 Dn, 0.5 In-Out
Std. Dev., , 29.1, 3.3, 7.7, 3074, 1506, 16.4, 2999, 44.2, 42.6, 5.3R, 11.2, 10.6, 20'5", 24.1, 0.13, 0.7, 3.2
