"","club","ball","ball_speed","launch_angle","side_angle","backspin","sidespin","tilt_angle","total_spin","carry","total","offline","descent_angle","peak_height","to_pin","club_speed","efficiency","angle_of_attack","club_path","side_angle_deg","side_angle_dir","sidespin_rpm","sidespin_dir","tilt_angle_deg","tilt_angle_dir","club_path_deg","club_path_dir","offline_yds_abs","offline_dir","offline_yds","to_pin_dist_type","to_pin_temp","to_pin_feet","to_pin_inches","to_pin_yds","angle_of_attack_dir","angle_of_attack_deg"
"26","Iron","Standard",115.1,20.7,"1.0 R",6413,"385 L","3.4 L",6425,158,166.2,"1.0L",48.9,34.9,"22'2""",88,1.31,"3.0 Dn","3.0 In-Out",1,"R",385,"L",3.4,"L",3,"In-Out",1,"L",-1,"Feet","22'2",22,266,7.38888888888889,"Dn",-3
"27","Iron","Standard",107.3,23.9,"1.9 R",7029,"537 L","4.4 L",7049,143.2,147.4,"0.3L",50.4,34.5,"22'8""",NA,NA,"--","--",1.9,"R",537,"L",4.4,"L",NA,"--",0.3,"L",-0.3,"Feet","22'8",22,272,7.55555555555556,NA,NA
"28","Iron","Standard",98.1,25.3,"0.1 R",8275,"633 L","4.4 L",8299,126.4,129,"4.4L",49.9,30.4,"28'7""",NA,NA,"--","--",0.1,"R",633,"L",4.4,"L",NA,"--",4.4,"L",-4.4,"Feet","28'7",28,343,9.52777777777778,NA,NA
"29","Iron","Standard",105.3,22.8,"0.7 R",8287,"452 L","3.1 L",8299,138.7,140.4,"2.3L",49.5,31.9,"15'7""",NA,NA,"--","--",0.7,"R",452,"L",3.1,"L",NA,"--",2.3,"L",-2.3,"Feet","15'7",15,187,5.19444444444444,NA,NA
"30","Iron","Standard",112.7,19.6,"0.6 L",6159,"708 L","6.6 L",6200,157.2,163.3,"10.3L",46.9,31.1,"49'5""",83.9,1.34,"3.7 Dn","1.8 In-Out",0.6,"L",708,"L",6.6,"L",1.8,"In-Out",10.3,"L",-10.3,"Feet","49'5",49,593,16.4722222222222,"Dn",-3.7
"31","Iron","Standard",107.9,22.5,"0.5 R",7496,"655 L","5.0 L",7525,144.3,146.7,"4.9L",49.2,33,"21'8""",NA,NA,"--","--",0.5,"R",655,"L",5,"L",NA,"--",4.9,"L",-4.9,"Feet","21'8",21,260,7.22222222222222,NA,NA
"32","Iron","Standard",119.1,20.2,"0.9 R",6372,"594 L","5.3 L",6400,166.9,171.8,"6.0L",49.3,36.5,"22'7""",90.5,1.32,"3.3 Dn","3.3 In-Out",0.9,"R",594,"L",5.3,"L",3.3,"In-Out",6,"L",-6,"Feet","22'7",22,271,7.52777777777778,"Dn",-3.3
"33","Iron","Standard",115.8,18.7,"0.6 L",6397,"594 L","5.3 L",6425,161.9,164.6,"9.1L",46.9,31.8,"13",85.9,1.35,"4.3 Dn","2.1 In-Out",0.6,"L",594,"L",5.3,"L",2.1,"In-Out",9.1,"L",-9.1,"Yards","13",39,468,13,"Dn",-4.3
"34","Iron","Standard",112,20,"0.5 R",5658,"870 L","8.7 L",5724,157.6,174.9,"14.5L",46.4,31,"12",84.8,1.32,"2.5 Dn","2.9 In-Out",0.5,"R",870,"L",8.7,"L",2.9,"In-Out",14.5,"L",-14.5,"Yards","12",36,432,12,"Dn",-2.5
"35","Wedge","Standard",80.5,30.7,"0.6 L",8143,"712 L","5.0 L",8174,96.2,97,"4.0L",49.7,24.5,"12'11""",75.3,1.07,"4.1 Dn","2.5 In-Out",0.6,"L",712,"L",5,"L",2.5,"In-Out",4,"L",-4,"Feet","12'11",12,155,4.30555555555556,"Dn",-4.1
